AMI Id,AMI Name,Creation Date,SNAPSHOT Count,SNAPSHOT Size (in GB),Deleted By
ami-056b725e1e9f14519,AMI_SAPXS4CIPA_New-8-01-2022,2022-01-08T13:18:07.000Z,6,809,Vaibhav
ami-05903d15892907a82,SAPXS4CIPA_AMI_05122021,2021-12-05T09:00:01.000Z,6,534,Vaibhav
ami-059fb8438048c362d,SAPTRDAP01-20200818,2020-08-18T10:17:52.000Z,3,232,Vaibhav
ami-05ad07da248ce91f5,AMI_SAPXDSAP01_14-12-2021,2021-12-14T09:56:18.000Z,6,944,Vaibhav
ami-05cae69b5b4b3d3f0,SAPXWDAP01_AMIBackup_9_Dec_2021,2021-12-09T18:10:39.000Z,5,236,Vaibhav
ami-05d0ba4eac8e00d24,SAPDWIN2019-AMIBackup-15thoct2020,2020-10-14T23:06:04.000Z,1,100,Vaibhav
ami-05e40d4461edafada,Pri-AMI-SAPDHCAP01-24122021,2021-12-24T18:24:48.000Z,6,282,Vaibhav
ami-05ec8dc3285ca6dfa,SAPGSDDB01_24022022,2022-02-24T07:45:32.000Z,4,650,Vaibhav
ami-060bba90409a42689,SAPXS4DB02_AMI_23_Dec_2021,2021-12-23T16:15:37.000Z,9,1951,Vaibhav
ami-060c9fa9a51b7d19e,SAPXS4DB03_AMI_30Dec2021,2021-12-29T21:46:16.000Z,10,4176,Vaibhav
ami-062e253dc4c5471a1,SAPXDSAP01_AMI_30Dec2021,2021-12-29T21:53:09.000Z,6,944,Vaibhav
ami-0633da99f57fd9d01,SAPXS4CIPA_AMIBackup_9_Dec_2021,2021-12-09T18:11:29.000Z,6,534,Vaibhav
ami-0657d03c01dee162a,AMI_sapdsusevul_31-12-2021,2021-12-31T12:10:45.000Z,2,200,Vaibhav
ami-06777702bd1d931d6,SAPDPODB01-adhocAMI_25032021,2021-03-25T06:24:51.000Z,10,2327,Vaibhav
ami-069e7a6684c57c13e,SAPXB4CIPA_Post-AMI_14022022,2022-02-14T14:49:29.000Z,7,502,Vaibhav
